customer_id,name,email,join_date,loyalty_tier,region
1,Customer_1,customer_1@example.com,2023-08-02 22:48:39.685540,Bronze,East
2,Customer_2,customer_2@example.com,2024-09-22 22:48:39.685550,Bronze,South
3,Customer_3,customer_3@example.com,2023-06-04 22:48:39.685552,Silver,South
4,Customer_4,customer_4@example.com,2023-11-09 22:48:39.685553,Bronze,West
5,Customer_5,customer_5@example.com,2023-12-18 22:48:39.685554,Bronze,East
6,Customer_6,customer_6@example.com,2023-02-20 22:48:39.685555,Bronze,East
7,Customer_7,customer_7@example.com,2023-09-19 22:48:39.685556,Silver,East
8,Customer_8,customer_8@example.com,2024-06-11 22:48:39.685557,Bronze,South
9,Customer_9,customer_9@example.com,2023-10-10 22:48:39.685557,Gold,North
10,Customer_10,customer_10@example.com,2024-05-17 22:48:39.685558,Bronze,North
11,Customer_11,customer_11@example.com,2025-02-18 22:48:39.685559,Bronze,North
12,Customer_12,customer_12@example.com,2025-01-17 22:48:39.685560,Gold,East
13,Customer_13,customer_13@example.com,2025-06-26 22:48:39.685561,Silver,West
14,Customer_14,customer_14@example.com,2024-02-21 22:48:39.685561,Silver,West
15,Customer_15,customer_15@example.com,2024-07-23 22:48:39.685562,Bronze,South
16,Customer_16,customer_16@example.com,2023-10-20 22:48:39.685563,Bronze,North
17,Customer_17,customer_17@example.com,2024-09-03 22:48:39.685564,Silver,South
18,Customer_18,customer_18@example.com,2022-12-24 22:48:39.685564,Bronze,South
19,Customer_19,customer_19@example.com,2023-01-25 22:48:39.685565,Silver,North
20,Customer_20,customer_20@example.com,2024-11-21 22:48:39.685566,Silver,East
21,Customer_21,customer_21@example.com,2025-02-09 22:48:39.685567,Bronze,West
22,Customer_22,customer_22@example.com,2024-07-04 22:48:39.685567,Silver,West
23,Customer_23,customer_23@example.com,2024-07-22 22:48:39.685568,Bronze,West
24,Customer_24,customer_24@example.com,2025-06-02 22:48:39.685569,Bronze,South
25,Customer_25,customer_25@example.com,2023-11-22 22:48:39.685570,Bronze,West
26,Customer_26,customer_26@example.com,2022-12-24 22:48:39.685570,Bronze,West
27,Customer_27,customer_27@example.com,2024-11-24 22:48:39.685571,Bronze,East
28,Customer_28,customer_28@example.com,2024-01-04 22:48:39.685572,Bronze,West
29,Customer_29,customer_29@example.com,2023-09-18 22:48:39.685572,Bronze,East
30,Customer_30,customer_30@example.com,2024-04-03 22:48:39.685573,Silver,North
31,Customer_31,customer_31@example.com,2023-08-25 22:48:39.685574,Bronze,East
32,Customer_32,customer_32@example.com,2023-01-15 22:48:39.685575,Silver,North
33,Customer_33,customer_33@example.com,2024-06-09 22:48:39.685575,Bronze,West
34,Customer_34,customer_34@example.com,2025-04-22 22:48:39.685576,Silver,West
35,Customer_35,customer_35@example.com,2023-11-17 22:48:39.685577,Bronze,West
36,Customer_36,customer_36@example.com,2025-04-02 22:48:39.685578,Bronze,South
37,Customer_37,customer_37@example.com,2024-02-05 22:48:39.685578,Bronze,West
38,Customer_38,customer_38@example.com,2023-04-02 22:48:39.685579,Bronze,South
39,Customer_39,customer_39@example.com,2024-04-03 22:48:39.685580,Silver,West
40,Customer_40,customer_40@example.com,2024-11-16 22:48:39.685581,Bronze,North
41,Customer_41,customer_41@example.com,2023-09-23 22:48:39.685581,Gold,North
42,Customer_42,customer_42@example.com,2025-03-21 22:48:39.685582,Bronze,South
43,Customer_43,customer_43@example.com,2023-04-30 22:48:39.685583,Silver,East
44,Customer_44,customer_44@example.com,2023-02-05 22:48:39.685584,Bronze,West
45,Customer_45,customer_45@example.com,2025-02-15 22:48:39.685584,Bronze,West
46,Customer_46,customer_46@example.com,2022-11-09 22:48:39.685585,Bronze,North
47,Customer_47,customer_47@example.com,2025-06-05 22:48:39.685586,Gold,West
48,Customer_48,customer_48@example.com,2024-09-22 22:48:39.685587,Bronze,South
49,Customer_49,customer_49@example.com,2023-03-20 22:48:39.685587,Bronze,South
50,Customer_50,customer_50@example.com,2024-11-03 22:48:39.685588,Bronze,West
51,Customer_51,customer_51@example.com,2024-05-13 22:48:39.685589,Bronze,East
52,Customer_52,customer_52@example.com,2025-01-26 22:48:39.685589,Bronze,West
53,Customer_53,customer_53@example.com,2025-04-02 22:48:39.685590,Bronze,West
54,Customer_54,customer_54@example.com,2023-11-05 22:48:39.685591,Silver,South
55,Customer_55,customer_55@example.com,2023-01-02 22:48:39.685592,Bronze,East
56,Customer_56,customer_56@example.com,2025-02-22 22:48:39.685592,Bronze,South
57,Customer_57,customer_57@example.com,2022-12-18 22:48:39.685593,Silver,South
58,Customer_58,customer_58@example.com,2024-12-31 22:48:39.685594,Bronze,East
59,Customer_59,customer_59@example.com,2023-03-01 22:48:39.685595,Bronze,East
60,Customer_60,customer_60@example.com,2024-11-18 22:48:39.685595,Bronze,North
61,Customer_61,customer_61@example.com,2024-07-14 22:48:39.685596,Bronze,West
62,Customer_62,customer_62@example.com,2023-01-14 22:48:39.685597,Bronze,East
63,Customer_63,customer_63@example.com,2024-09-11 22:48:39.685598,Bronze,West
64,Customer_64,customer_64@example.com,2024-04-13 22:48:39.685598,Bronze,East
65,Customer_65,customer_65@example.com,2024-11-25 22:48:39.685599,Silver,South
66,Customer_66,customer_66@example.com,2024-05-18 22:48:39.685600,Bronze,East
67,Customer_67,customer_67@example.com,2024-12-13 22:48:39.685601,Bronze,North
68,Customer_68,customer_68@example.com,2025-01-27 22:48:39.685601,Silver,North
69,Customer_69,customer_69@example.com,2025-02-27 22:48:39.685602,Gold,South
70,Customer_70,customer_70@example.com,2023-07-11 22:48:39.685603,Bronze,North
71,Customer_71,customer_71@example.com,2025-04-14 22:48:39.685604,Silver,North
72,Customer_72,customer_72@example.com,2025-01-02 22:48:39.685604,Silver,East
73,Customer_73,customer_73@example.com,2023-03-03 22:48:39.685605,Bronze,North
74,Customer_74,customer_74@example.com,2024-03-13 22:48:39.685606,Gold,West
75,Customer_75,customer_75@example.com,2024-05-28 22:48:39.685607,Bronze,West
76,Customer_76,customer_76@example.com,2024-08-29 22:48:39.685607,Silver,East
77,Customer_77,customer_77@example.com,2023-03-17 22:48:39.685608,Bronze,South
78,Customer_78,customer_78@example.com,2025-01-17 22:48:39.685609,Bronze,East
79,Customer_79,customer_79@example.com,2023-04-04 22:48:39.685610,Bronze,South
80,Customer_80,customer_80@example.com,2023-06-09 22:48:39.685610,Bronze,South
81,Customer_81,customer_81@example.com,2023-06-20 22:48:39.685611,Silver,East
82,Customer_82,customer_82@example.com,2025-03-25 22:48:39.685612,Bronze,West
83,Customer_83,customer_83@example.com,2022-12-04 22:48:39.685613,Silver,North
84,Customer_84,customer_84@example.com,2023-06-07 22:48:39.685613,Bronze,South
85,Customer_85,customer_85@example.com,2025-03-12 22:48:39.685614,Bronze,East
86,Customer_86,customer_86@example.com,2024-06-28 22:48:39.685615,Silver,West
87,Customer_87,customer_87@example.com,2024-08-26 22:48:39.685616,Bronze,West
88,Customer_88,customer_88@example.com,2024-12-31 22:48:39.685616,Bronze,North
89,Customer_89,customer_89@example.com,2023-12-24 22:48:39.685617,Silver,North
90,Customer_90,customer_90@example.com,2023-07-24 22:48:39.685618,Bronze,North
91,Customer_91,customer_91@example.com,2022-11-18 22:48:39.685619,Bronze,West
92,Customer_92,customer_92@example.com,2023-04-08 22:48:39.685619,Silver,North
93,Customer_93,customer_93@example.com,2024-02-14 22:48:39.685620,Silver,West
94,Customer_94,customer_94@example.com,2024-06-21 22:48:39.685621,Bronze,East
95,Customer_95,customer_95@example.com,2023-04-26 22:48:39.685622,Bronze,West
96,Customer_96,customer_96@example.com,2023-02-08 22:48:39.685622,Bronze,North
97,Customer_97,customer_97@example.com,2023-09-19 22:48:39.685623,Bronze,North
98,Customer_98,customer_98@example.com,2024-01-31 22:48:39.685624,Bronze,East
99,Customer_99,customer_99@example.com,2025-02-21 22:48:39.685625,Bronze,East
100,Customer_100,customer_100@example.com,2024-01-26 22:48:39.685625,Bronze,North
101,Customer_101,customer_101@example.com,2022-12-27 22:48:39.685626,Bronze,West
102,Customer_102,customer_102@example.com,2023-11-21 22:48:39.685627,Bronze,East
103,Customer_103,customer_103@example.com,2023-03-18 22:48:39.685628,Silver,West
104,Customer_104,customer_104@example.com,2025-01-04 22:48:39.685628,Bronze,West
105,Customer_105,customer_105@example.com,2023-10-31 22:48:39.685629,Gold,East
106,Customer_106,customer_106@example.com,2023-05-28 22:48:39.685630,Bronze,South
107,Customer_107,customer_107@example.com,2023-07-30 22:48:39.685631,Bronze,South
108,Customer_108,customer_108@example.com,2023-10-17 22:48:39.685631,Gold,North
109,Customer_109,customer_109@example.com,2023-01-13 22:48:39.685632,Silver,South
110,Customer_110,customer_110@example.com,2024-06-03 22:48:39.685633,Silver,East
111,Customer_111,customer_111@example.com,2024-12-04 22:48:39.685634,Bronze,North
112,Customer_112,customer_112@example.com,2024-11-01 22:48:39.685634,Bronze,West
113,Customer_113,customer_113@example.com,2024-01-06 22:48:39.685635,Bronze,West
114,Customer_114,customer_114@example.com,2025-05-26 22:48:39.685636,Silver,North
115,Customer_115,customer_115@example.com,2025-04-11 22:48:39.685637,Bronze,North
116,Customer_116,customer_116@example.com,2025-01-04 22:48:39.685637,Bronze,West
117,Customer_117,customer_117@example.com,2024-02-28 22:48:39.685638,Gold,East
118,Customer_118,customer_118@example.com,2023-07-31 22:48:39.685639,Bronze,South
119,Customer_119,customer_119@example.com,2024-09-27 22:48:39.685640,Bronze,South
120,Customer_120,customer_120@example.com,2025-06-12 22:48:39.685640,Bronze,East
121,Customer_121,customer_121@example.com,2023-12-17 22:48:39.685641,Silver,West
122,Customer_122,customer_122@example.com,2025-03-30 22:48:39.685642,Bronze,South
123,Customer_123,customer_123@example.com,2024-09-14 22:48:39.685643,Bronze,South
124,Customer_124,customer_124@example.com,2025-01-23 22:48:39.685643,Bronze,South
